crop,year,season,rainfall_mm,temperature,humidity,nitrogen,phosphorus,potassium,ph,area_hectares,irrigation,fertilizer_used,yield_tons_per_hectare
Cotton,2023,Kharif,775.0,28.1,62.0,179.3,39.9,262.7,7.42,379.02,1,0,2.75
Cotton,2022,Kharif,897.5,28.9,62.6,168.3,45.9,245.0,6.72,204.73,1,1,2.92
Rice,2023,Kharif,1131.2,30.9,75.3,202.3,45.6,326.6,6.14,345.43,1,0,3.85
Soybean,2018,Kharif,749.9,28.3,62.1,122.7,39.3,167.8,6.64,200.01,1,1,3.03
Soybean,2016,Kharif,802.9,27.0,75.2,91.1,50.2,197.2,7.33,376.0,1,0,2.69
Cotton,2016,Kharif,803.3,27.7,77.7,161.5,35.0,258.3,7.45,94.47,1,1,1.92
Rice,2017,Kharif,1224.5,28.4,75.4,218.1,40.8,203.4,6.01,148.53,1,1,3.79
Wheat,2017,Rabi,582.2,23.0,55.4,256.6,56.5,249.0,7.17,206.26,0,1,4.75
Soybean,2016,Kharif,652.8,24.9,68.5,120.7,59.3,173.1,6.81,380.03,0,0,2.56
Soybean,2024,Kharif,703.3,27.1,68.5,174.1,63.2,214.5,6.34,331.5,0,1,3.55
Maize,2021,Kharif,636.1,24.7,69.8,160.0,52.1,187.8,7.38,20.59,1,1,4.06
Cotton,2024,Kharif,656.0,27.2,64.7,201.2,48.9,230.4,6.2,279.28,0,1,1.94
Maize,2023,Kharif,765.0,24.4,67.0,237.5,52.4,170.6,6.66,142.51,1,1,6.24
Wheat,2017,Rabi,569.6,22.6,58.1,228.7,72.7,184.0,6.79,260.57,0,1,3.95
Wheat,2019,Rabi,582.7,21.6,52.7,251.9,64.0,204.1,7.47,486.34,1,1,4.59
Maize,2015,Kharif,779.8,27.5,71.1,257.4,56.6,242.2,6.87,36.98,0,0,5.15
Maize,2021,Kharif,697.2,23.2,62.5,212.4,55.9,223.8,7.18,35.45,1,1,5.21
Rice,2016,Kharif,1249.0,32.4,77.8,185.9,48.9,208.6,6.28,461.78,0,1,4.14
Rice,2022,Kharif,1259.0,26.0,79.7,219.7,47.5,246.6,5.82,324.67,1,1,4.75
Cotton,2023,Kharif,890.6,26.4,52.8,208.4,38.6,217.9,7.31,476.83,1,1,2.59
Soybean,2022,Kharif,801.2,26.0,67.4,91.0,64.3,165.1,7.08,65.95,1,0,2.63
Rice,2019,Kharif,1283.2,28.5,86.8,220.2,35.6,289.7,7.36,55.45,0,1,3.95
Sugarcane,2024,Summer,876.9,32.1,81.1,193.6,64.5,381.8,6.81,245.66,1,1,97.11
Maize,2022,Kharif,739.2,30.9,49.1,144.3,54.5,141.5,7.13,423.37,1,1,3.21
Cotton,2021,Kharif,790.2,28.5,66.9,214.8,28.0,187.0,6.53,48.16,1,0,1.78
Rice,2020,Kharif,1500.0,28.7,90.0,159.6,48.7,197.1,5.8,326.35,0,1,3.11
Cotton,2016,Kharif,811.1,26.8,68.4,202.5,42.4,206.4,7.85,324.59,1,0,2.06
Cotton,2024,Kharif,633.1,28.6,51.9,181.1,34.2,238.1,7.42,462.28,1,1,2.09
Rice,2019,Kharif,1402.1,30.7,90.0,253.2,55.4,193.0,5.85,59.36,1,1,5.11
Cotton,2024,Kharif,672.6,26.1,62.8,142.3,56.8,312.4,6.57,458.06,0,1,2.26
Wheat,2018,Rabi,578.9,20.7,47.2,182.6,61.6,187.4,7.02,379.46,0,1,2.6
Rice,2018,Kharif,1044.4,30.5,78.9,186.2,63.7,243.6,6.82,134.47,0,0,3.22
Cotton,2023,Kharif,817.2,28.2,53.4,208.9,40.3,256.3,6.41,481.36,1,0,2.43
Cotton,2024,Kharif,849.2,27.4,68.9,164.6,50.7,193.8,6.96,182.24,1,1,2.96
Soybean,2019,Kharif,714.0,25.0,61.4,175.6,50.9,189.2,7.36,225.42,0,1,3.12
Cotton,2017,Kharif,975.7,24.3,69.6,169.6,38.1,263.2,6.49,494.69,0,1,1.4
Soybean,2018,Kharif,619.4,26.6,65.1,151.5,35.3,162.7,6.85,12.09,1,1,3.1
Sugarcane,2019,Summer,861.6,33.2,86.8,230.6,73.9,208.3,6.11,32.56,0,1,53.9
Turmeric,2017,Kharif,837.1,31.5,70.7,233.7,74.7,194.7,6.8,109.02,1,0,8.64
Rice,2018,Kharif,1451.1,28.7,77.3,225.6,40.9,243.5,6.64,279.51,1,1,5.28
Cotton,2016,Kharif,758.8,29.3,54.1,212.3,43.6,199.2,7.47,294.27,1,0,2.33
Rice,2021,Kharif,1268.1,28.2,78.6,194.3,42.2,250.5,6.96,167.02,0,1,3.35
Rice,2015,Kharif,1219.9,29.8,90.0,207.2,40.7,291.6,6.96,208.71,1,1,4.94
Soybean,2019,Kharif,778.3,28.0,77.6,121.2,43.0,126.0,6.46,414.33,0,0,1.94
Rice,2017,Kharif,1275.5,31.6,76.7,158.5,31.0,274.9,5.75,321.03,0,0,2.44
Maize,2019,Kharif,743.1,26.8,90.0,197.7,48.4,206.4,6.68,171.3,1,1,4.56
Cotton,2019,Kharif,872.0,28.8,57.8,182.9,33.2,238.4,7.06,475.82,0,1,2.17
Wheat,2024,Rabi,455.8,22.6,56.0,207.3,39.4,182.1,7.49,475.26,0,0,2.55
Wheat,2016,Rabi,525.5,22.7,48.6,185.8,65.3,136.7,7.17,463.8,1,1,3.59
Rice,2017,Kharif,1166.9,27.7,90.0,143.5,35.9,211.5,6.46,456.76,0,1,2.7
Rice,2018,Kharif,1331.5,29.6,81.3,233.1,58.7,278.2,6.24,40.8,0,1,5.24
Rice,2022,Kharif,1310.4,29.8,79.4,210.0,51.7,200.6,6.62,81.91,0,1,4.92
Cotton,2021,Kharif,736.8,28.5,47.2,215.4,38.4,219.1,6.79,59.41,0,0,1.95
Wheat,2015,Rabi,429.8,19.6,63.1,174.2,37.0,157.3,7.7,146.7,1,1,2.08
Wheat,2024,Rabi,543.7,23.9,55.0,218.3,60.5,126.9,5.97,303.2,0,1,2.72
Cotton,2018,Kharif,910.6,27.4,55.9,222.4,39.5,197.3,7.62,19.71,0,1,2.16
Wheat,2020,Rabi,545.0,24.4,76.0,242.5,51.0,176.3,6.72,188.1,0,1,2.42
Wheat,2017,Rabi,538.0,21.6,53.5,225.7,62.9,176.2,6.57,357.35,0,1,3.27
Sugarcane,2015,Summer,1067.6,30.2,90.0,259.0,53.4,308.7,6.66,79.47,1,1,78.49
Wheat,2016,Rabi,421.4,19.3,51.5,228.9,63.6,129.4,7.57,2.73,1,1,3.12
Soybean,2015,Kharif,776.2,21.7,62.5,136.5,45.8,235.3,7.36,224.0,1,1,3.26
Rice,2024,Kharif,1171.4,30.8,80.7,201.3,39.2,198.9,6.22,157.22,0,1,4.14
Soybean,2022,Kharif,746.2,27.3,68.0,137.6,57.3,176.9,6.96,221.75,1,1,4.1
Turmeric,2018,Kharif,818.1,26.3,73.2,209.0,60.0,214.5,6.91,221.6,0,0,6.97
Soybean,2023,Kharif,855.6,26.5,74.9,133.4,66.5,247.1,7.14,175.23,0,1,3.46
Soybean,2021,Kharif,682.7,24.8,71.1,140.8,76.6,179.4,6.77,87.4,0,1,2.85
Rice,2016,Kharif,1216.0,25.8,85.4,156.4,31.1,271.3,6.64,171.03,0,1,2.99
Rice,2022,Kharif,1289.4,28.4,90.0,188.1,43.7,258.6,5.94,115.95,0,0,3.55
Cotton,2017,Kharif,884.4,26.3,54.5,156.6,18.7,245.1,7.43,226.15,1,1,1.72
Wheat,2018,Rabi,509.4,24.4,52.2,184.0,55.7,136.2,7.58,371.35,0,1,2.35
Cotton,2019,Kharif,764.3,28.9,63.0,208.5,45.6,226.4,6.92,74.9,1,1,2.87
Maize,2015,Kharif,725.8,25.7,58.1,220.5,54.4,163.7,6.7,469.64,0,1,4.68
Cotton,2024,Kharif,864.7,28.7,64.5,190.5,45.0,268.1,6.91,408.74,0,1,2.61
Soybean,2015,Kharif,851.9,22.9,64.7,129.1,53.5,199.4,7.2,498.56,1,1,3.24
Maize,2018,Kharif,770.4,29.2,74.6,162.5,54.9,206.8,6.38,7.77,0,1,3.9
Soybean,2020,Kharif,837.9,26.1,79.7,100.8,57.5,183.4,6.56,46.77,1,0,2.56
Cotton,2018,Kharif,684.9,27.7,68.4,240.2,49.1,205.2,7.76,361.42,0,1,2.24
Sugarcane,2017,Summer,1101.1,28.5,73.0,239.0,61.0,399.9,5.99,165.18,0,1,56.54
Soybean,2016,Kharif,672.1,26.6,71.6,107.7,53.0,142.8,6.49,328.43,0,0,2.01
Turmeric,2024,Kharif,991.5,30.6,90.0,163.2,50.5,259.0,6.2,293.08,1,1,8.86
Maize,2022,Kharif,761.2,26.6,68.5,179.2,53.9,186.1,6.3,340.76,1,1,5.63
Wheat,2017,Rabi,572.2,19.9,55.4,193.1,44.7,225.7,6.95,247.77,0,1,2.88
Wheat,2018,Rabi,550.8,23.9,43.1,254.0,59.8,179.9,8.05,483.64,0,1,2.84
Wheat,2017,Rabi,639.2,25.1,39.4,272.0,80.0,224.6,7.2,469.88,1,0,3.52
Rice,2019,Kharif,1186.2,28.7,76.9,135.2,34.7,256.7,6.89,112.06,1,1,3.91
Wheat,2022,Rabi,506.4,21.1,44.9,223.6,49.5,198.0,7.62,41.38,0,1,3.34
Rice,2017,Kharif,1194.8,32.6,82.5,217.7,46.4,276.4,6.41,339.19,0,1,4.86
Sugarcane,2020,Summer,1134.2,33.3,84.5,212.7,57.4,288.3,6.4,377.84,1,0,68.93
Soybean,2019,Kharif,685.3,25.9,50.4,146.2,49.4,220.7,6.48,310.66,1,1,3.12
Soybean,2021,Kharif,709.6,29.9,66.5,143.1,63.0,156.4,6.57,228.77,0,0,2.76
Wheat,2024,Rabi,486.3,25.8,69.4,214.1,58.9,217.9,7.14,495.66,0,1,3.13
Soybean,2019,Kharif,750.4,29.7,58.2,152.9,48.2,214.9,7.6,176.01,0,1,2.76
Rice,2019,Kharif,1349.7,27.0,84.8,166.8,56.8,184.5,7.02,461.98,1,1,3.93
Sugarcane,2017,Summer,1022.2,33.5,76.1,227.9,43.7,284.4,6.04,409.06,1,1,63.99
Cotton,2019,Kharif,678.3,28.1,64.6,220.3,54.8,236.4,7.32,249.0,1,1,3.46
Turmeric,2015,Kharif,769.3,29.7,80.2,120.4,63.0,254.7,6.93,247.24,0,0,6.62
Soybean,2018,Kharif,755.1,31.5,73.5,115.5,55.5,231.5,6.36,178.91,1,0,2.43
Cotton,2024,Kharif,951.7,26.5,59.6,215.1,40.4,206.1,6.72,60.15,0,1,2.49
Cotton,2019,Kharif,816.9,26.7,70.2,162.8,43.5,224.4,7.12,100.32,0,0,1.89
Cotton,2017,Kharif,835.4,30.9,67.1,208.6,24.9,158.8,6.51,368.97,0,0,1.17
Maize,2022,Kharif,667.5,26.1,77.7,212.3,55.4,203.4,6.73,214.24,1,1,6.01
Sugarcane,2015,Summer,1233.8,30.8,67.7,225.2,52.5,333.1,7.15,357.91,1,1,60.31
Sugarcane,2022,Summer,1102.1,30.5,77.3,281.9,43.1,408.1,6.49,20.31,1,0,84.49
Maize,2018,Kharif,765.8,27.8,67.3,180.3,73.6,247.9,6.52,369.63,0,1,5.53
Soybean,2020,Kharif,781.1,27.8,67.4,121.4,56.6,101.6,6.88,165.23,1,1,3.55
Wheat,2022,Rabi,613.5,20.6,58.2,164.0,52.4,198.0,7.27,55.28,0,1,3.37
Wheat,2020,Rabi,499.9,24.3,50.3,246.5,59.0,175.1,6.97,212.09,1,1,3.73
Rice,2019,Kharif,1272.3,34.0,82.5,134.7,45.2,279.2,6.84,5.52,1,0,3.37
Wheat,2021,Rabi,607.3,21.7,51.7,300.0,43.0,185.3,7.23,94.73,1,1,3.96
Wheat,2015,Rabi,592.9,23.7,42.0,195.9,57.7,219.6,6.63,310.86,1,0,2.6
Cotton,2017,Kharif,911.9,28.4,59.2,184.0,34.3,190.6,6.51,246.9,0,0,1.64
Cotton,2016,Kharif,860.9,33.6,57.9,156.6,35.3,215.6,6.8,403.4,0,0,1.31
Rice,2021,Kharif,1278.5,32.3,90.0,185.1,33.7,234.1,7.04,317.39,0,1,2.66
Wheat,2016,Rabi,561.5,20.6,62.5,205.0,58.2,154.2,7.61,343.73,0,1,3.09
Maize,2022,Kharif,704.8,28.2,65.1,187.3,46.5,230.1,6.84,490.26,0,0,5.19
Wheat,2019,Rabi,500.5,25.4,57.6,216.1,61.8,227.6,7.23,204.16,0,1,3.7
Sugarcane,2024,Summer,971.4,32.0,79.8,229.6,61.9,365.3,7.65,151.74,0,1,77.02
Cotton,2022,Kharif,687.7,29.9,67.7,143.0,44.6,257.2,6.86,204.6,0,1,1.9
Soybean,2022,Kharif,741.0,24.0,63.1,93.2,38.3,183.3,6.75,324.82,0,0,2.1
Maize,2022,Kharif,599.0,26.2,74.7,204.9,43.7,185.3,6.85,54.16,1,1,5.23
Rice,2021,Kharif,1343.6,28.7,81.2,193.1,46.3,227.9,6.25,365.14,1,1,4.75
Cotton,2020,Kharif,807.9,25.3,61.1,166.8,42.0,237.1,6.28,432.17,1,0,2.08
Wheat,2017,Rabi,575.8,21.0,61.4,172.1,52.0,245.0,6.92,495.71,0,0,3.01
Cotton,2019,Kharif,786.6,28.9,73.7,202.5,46.8,210.3,7.24,98.15,0,0,1.79
Soybean,2018,Kharif,784.2,28.6,51.2,163.1,19.9,204.1,6.98,287.56,0,1,2.21
Rice,2016,Kharif,1241.7,32.9,90.0,182.3,33.8,282.9,6.23,93.88,0,0,2.95
Cotton,2022,Kharif,831.5,29.4,64.9,143.2,48.5,184.3,7.08,7.18,1,1,2.41
Soybean,2023,Kharif,759.5,26.1,60.4,109.1,47.5,174.1,7.07,109.97,1,1,4.07
Soybean,2022,Kharif,734.0,30.5,60.5,145.9,63.8,143.4,6.78,438.31,0,0,2.74
Maize,2018,Kharif,661.6,24.8,59.4,237.0,35.3,186.7,6.7,355.62,1,1,4.72
Cotton,2017,Kharif,812.5,28.7,65.3,179.0,34.0,233.3,6.62,169.08,0,1,1.9
Rice,2015,Kharif,1426.8,29.5,67.1,227.7,48.7,106.6,6.95,202.28,1,1,3.78
Soybean,2015,Kharif,601.2,27.7,62.3,112.0,38.9,155.7,6.86,472.29,0,1,2.05
Turmeric,2024,Kharif,1041.1,26.0,72.5,185.8,43.0,256.7,6.35,152.82,1,1,8.6
Rice,2021,Kharif,1298.5,25.8,79.3,244.1,47.4,215.2,6.45,380.97,1,0,4.43
Soybean,2021,Kharif,879.4,25.1,60.2,102.8,43.0,176.2,6.69,320.64,0,0,2.17
Cotton,2023,Kharif,797.9,23.4,55.2,232.7,37.4,275.6,7.41,40.44,1,0,2.32
Rice,2023,Kharif,1195.9,29.3,82.2,223.4,42.2,228.3,7.5,475.94,0,1,4.17
Cotton,2016,Kharif,740.9,29.1,57.5,187.1,29.0,221.3,6.81,488.93,0,1,2.1
Cotton,2020,Kharif,739.8,29.2,68.2,156.3,30.5,227.0,7.93,398.96,0,0,1.41
Cotton,2018,Kharif,673.5,28.9,77.9,165.4,37.9,182.0,6.91,474.33,0,1,1.36
Turmeric,2016,Kharif,984.0,26.5,87.9,200.5,41.7,219.4,6.43,437.98,1,1,7.75
Wheat,2020,Rabi,533.5,19.8,48.9,237.4,50.2,241.6,7.36,278.19,0,1,4.04
Wheat,2015,Rabi,582.9,23.0,47.2,133.9,58.8,103.7,7.15,404.57,0,0,2.15
Wheat,2023,Rabi,485.0,20.5,40.2,154.0,73.6,181.5,7.64,393.37,0,1,2.58
Sugarcane,2022,Summer,1296.5,33.5,77.9,260.2,71.3,274.4,6.95,173.08,0,0,63.35
Soybean,2016,Kharif,689.0,28.2,66.0,122.1,48.7,151.9,6.32,306.38,0,1,2.51
Maize,2019,Kharif,725.1,27.0,71.1,231.6,40.6,228.3,6.5,460.87,1,1,6.23
Soybean,2015,Kharif,633.0,20.9,69.9,117.9,58.1,183.8,7.37,268.22,1,1,2.28
Rice,2022,Kharif,1193.9,35.7,77.7,248.2,42.1,245.0,6.44,455.74,1,1,4.49
Cotton,2017,Kharif,882.6,27.5,67.5,176.9,50.7,156.4,6.33,159.82,1,1,2.02
Cotton,2021,Kharif,665.4,27.4,56.3,160.2,30.4,251.0,6.35,384.55,1,0,1.93
Soybean,2019,Kharif,851.2,25.5,62.7,172.5,42.9,182.4,7.0,385.68,1,0,3.38
Soybean,2016,Kharif,860.0,30.5,63.7,108.5,32.9,226.1,6.95,155.81,0,1,2.14
Rice,2018,Kharif,1059.2,27.1,90.0,240.8,48.9,271.0,7.27,40.79,1,0,3.97
Wheat,2016,Rabi,592.9,21.4,56.3,161.5,45.2,252.8,7.31,246.17,0,1,3.01
Wheat,2023,Rabi,561.6,22.8,51.5,260.3,41.0,289.6,7.5,322.71,0,1,4.57
Maize,2016,Kharif,563.6,30.8,74.4,167.0,35.4,191.9,6.73,434.97,1,1,3.22
Rice,2021,Kharif,1149.1,29.4,89.0,220.1,49.7,165.9,6.3,137.26,0,0,3.65
Wheat,2019,Rabi,545.4,23.4,53.4,279.4,43.4,167.8,7.33,133.89,1,1,4.22
Turmeric,2023,Kharif,980.2,32.9,75.0,114.7,63.1,239.7,6.51,7.33,0,0,6.06
Soybean,2020,Kharif,711.6,25.8,65.6,80.0,40.8,141.2,6.74,273.36,0,1,2.33
Cotton,2021,Kharif,785.2,31.4,51.8,191.2,37.9,232.5,6.76,93.28,0,1,1.88
Wheat,2021,Rabi,619.3,25.6,50.5,241.5,56.8,203.7,7.16,204.64,0,1,3.54
Cotton,2024,Kharif,775.3,27.3,56.8,187.8,39.8,266.2,6.98,490.07,0,0,2.57
Cotton,2016,Kharif,816.8,28.9,54.5,231.5,32.6,252.0,7.65,372.28,0,1,2.15
Rice,2020,Kharif,1371.4,31.4,82.0,140.9,40.4,283.1,6.62,8.21,1,1,4.67
Cotton,2018,Kharif,863.0,29.6,60.4,133.0,27.6,219.4,7.72,279.36,1,0,1.79
Soybean,2022,Kharif,809.7,28.5,63.8,109.2,57.8,176.1,6.89,486.91,1,1,3.65
Sugarcane,2015,Summer,1088.7,32.1,81.9,263.6,61.7,318.8,6.83,481.47,0,0,75.51
Cotton,2020,Kharif,774.8,29.0,65.7,158.8,38.6,173.1,6.26,49.72,1,0,1.47
Sugarcane,2022,Summer,1068.9,30.1,80.8,225.6,34.7,371.7,6.95,290.68,0,1,69.71
Soybean,2019,Kharif,833.6,24.9,65.2,95.6,75.5,274.3,7.55,265.9,1,1,3.2
Sugarcane,2021,Summer,1142.3,33.6,85.7,206.5,54.3,371.4,6.69,497.19,0,0,54.07
Soybean,2020,Kharif,631.9,31.4,57.4,132.8,57.8,159.9,7.11,119.23,1,1,3.06
Cotton,2020,Kharif,704.7,26.9,64.7,213.9,20.4,228.4,6.99,226.39,0,1,1.95
Cotton,2024,Kharif,1070.1,30.9,54.2,175.3,43.5,262.4,7.24,155.82,0,1,1.85
Maize,2023,Kharif,812.8,28.0,83.9,185.7,41.8,150.7,6.81,193.33,0,0,2.63
Maize,2020,Kharif,799.5,26.4,67.6,158.7,39.6,247.7,6.94,293.85,0,1,4.29
Maize,2021,Kharif,661.4,26.0,81.3,204.9,42.5,241.5,6.91,147.92,0,1,3.87
Maize,2015,Kharif,667.1,25.5,58.3,173.7,36.2,225.2,6.74,322.4,0,1,4.07
Wheat,2022,Rabi,680.2,19.8,61.9,186.4,40.2,194.7,6.76,98.79,0,0,2.45
Wheat,2024,Rabi,456.0,25.0,62.3,214.1,51.1,202.8,7.93,334.61,0,0,2.05
Wheat,2015,Rabi,502.1,21.3,49.1,295.3,73.1,226.1,6.98,372.87,1,1,4.9
Rice,2015,Kharif,1180.0,33.5,87.8,182.3,50.0,233.1,6.82,120.79,1,1,3.84
Maize,2020,Kharif,646.8,23.8,71.9,198.6,51.3,222.6,6.54,20.6,0,1,4.77
Maize,2023,Kharif,742.3,26.8,58.4,267.5,38.9,244.1,5.97,4.85,0,1,5.29
Rice,2023,Kharif,1378.4,29.9,75.5,200.7,47.2,278.3,6.77,120.56,0,0,3.7
Soybean,2022,Kharif,692.9,29.6,57.3,87.1,42.0,124.7,7.02,154.81,1,1,2.33
Soybean,2019,Kharif,670.5,23.1,69.5,111.5,69.5,178.3,6.29,205.1,0,1,2.46
Rice,2022,Kharif,1301.0,32.7,75.5,175.9,39.9,169.2,6.22,268.44,0,1,2.88
Rice,2020,Kharif,1216.4,29.6,80.2,179.4,44.2,215.6,6.39,203.57,0,1,4.3
Cotton,2018,Kharif,781.3,27.1,67.2,234.7,34.1,222.3,7.63,117.38,0,1,2.42
Soybean,2016,Kharif,761.7,26.2,71.1,152.2,58.4,188.3,7.14,473.88,0,0,2.78
Cotton,2018,Kharif,729.6,27.9,61.4,206.1,33.3,230.8,6.77,471.43,0,1,2.26
Cotton,2018,Kharif,719.3,27.8,45.1,199.5,49.5,207.6,6.68,439.53,1,1,2.29
Sugarcane,2019,Summer,1243.6,35.1,80.7,300.0,53.1,331.4,6.59,464.26,0,0,71.51
Cotton,2020,Kharif,849.9,25.0,53.7,174.1,46.0,200.6,6.49,109.51,1,1,2.38
Cotton,2019,Kharif,955.1,26.0,60.2,163.4,42.7,240.6,6.85,312.8,1,0,2.02
Wheat,2023,Rabi,543.9,24.3,52.4,260.8,55.8,252.9,7.5,359.81,0,1,4.45
Soybean,2015,Kharif,785.4,26.6,59.0,124.2,52.3,182.8,6.84,166.75,1,0,3.16
Wheat,2023,Rabi,505.0,20.4,54.3,238.4,54.5,187.5,7.03,418.29,1,1,4.46
Maize,2022,Kharif,739.0,28.7,72.2,179.5,67.2,285.1,7.56,189.53,1,0,4.81
Wheat,2020,Rabi,571.1,23.8,66.5,251.7,69.9,189.5,7.5,252.3,0,1,3.41
Cotton,2024,Kharif,766.1,29.5,49.9,216.8,49.0,202.9,6.98,85.32,1,1,2.57
Cotton,2018,Kharif,794.6,28.3,60.8,233.1,41.4,226.3,6.66,408.52,1,0,2.74
Wheat,2020,Rabi,649.4,23.2,54.1,269.1,67.5,205.3,7.37,264.49,1,1,4.76
Soybean,2021,Kharif,797.2,28.7,49.0,111.4,53.9,165.7,7.2,451.28,0,0,1.92
Cotton,2020,Kharif,692.9,26.6,61.1,161.3,41.2,158.7,6.72,375.21,0,0,1.4
Soybean,2015,Kharif,821.0,23.0,67.7,124.2,44.5,207.8,6.91,381.51,0,1,2.16
Wheat,2019,Rabi,547.8,22.0,53.8,278.0,57.1,261.0,7.16,486.36,1,1,5.65
Wheat,2024,Rabi,594.0,22.1,58.5,189.6,57.1,197.0,7.82,408.29,0,1,3.32
Wheat,2018,Rabi,457.5,21.4,66.2,196.5,64.2,188.4,7.75,324.65,1,1,3.71
Rice,2020,Kharif,1201.3,27.0,76.7,238.0,46.0,267.3,6.21,373.77,1,1,5.37
Wheat,2021,Rabi,557.0,21.2,56.4,222.2,51.2,186.7,7.06,364.93,1,0,4.12
Cotton,2023,Kharif,816.4,28.8,54.4,222.5,37.2,153.5,6.88,414.05,0,1,2.11
Cotton,2023,Kharif,900.5,30.0,57.6,145.9,38.4,216.6,6.79,321.68,1,1,2.24
Maize,2023,Kharif,656.9,24.0,58.6,205.4,63.8,183.3,7.21,472.78,1,1,5.65
Wheat,2017,Rabi,507.1,24.5,53.9,202.6,49.9,194.7,6.77,58.5,0,0,2.35
Cotton,2015,Kharif,726.8,27.9,55.6,135.2,35.2,209.5,7.04,80.17,0,0,1.56
Maize,2020,Kharif,684.7,29.5,60.4,212.7,66.7,216.8,7.42,396.79,1,0,5.38
Wheat,2024,Rabi,585.8,23.9,47.3,237.4,38.3,258.3,7.47,25.88,1,1,3.88
Soybean,2022,Kharif,845.4,27.0,70.4,101.0,41.6,213.4,6.73,452.23,0,1,2.72
Sugarcane,2015,Summer,1124.5,29.4,76.2,296.0,65.0,290.3,6.88,340.59,0,1,75.4
Rice,2023,Kharif,1375.1,30.5,90.0,163.2,38.8,179.9,6.0,446.46,1,1,3.67
Wheat,2016,Rabi,535.8,22.1,49.2,256.0,65.7,213.3,7.59,376.92,0,1,3.69
Maize,2020,Kharif,573.9,26.2,56.2,177.0,62.8,163.2,6.97,233.06,1,0,4.57
Maize,2019,Kharif,771.9,24.7,68.5,155.6,47.5,220.0,6.57,493.22,1,1,4.89
Sugarcane,2020,Summer,994.0,34.2,78.0,244.8,57.5,260.0,6.96,240.35,1,1,64.28
Rice,2021,Kharif,1179.0,30.0,81.1,191.1,48.1,198.5,6.26,165.84,1,0,4.85
Cotton,2018,Kharif,873.0,27.6,67.1,185.9,52.1,233.1,6.81,18.91,1,1,2.83
Cotton,2023,Kharif,876.1,27.8,68.0,199.3,40.2,167.6,5.84,246.57,0,1,1.88
Wheat,2023,Rabi,619.6,22.1,53.2,222.3,79.1,194.7,7.35,123.72,1,1,5.46
Maize,2017,Kharif,688.7,26.9,63.5,190.3,44.3,155.6,7.07,241.68,0,1,4.33
Wheat,2024,Rabi,482.4,22.4,54.5,238.7,58.4,188.3,7.27,283.75,0,1,4.12
Soybean,2020,Kharif,761.8,26.9,67.3,135.2,51.0,109.7,6.82,308.58,1,0,2.55
Wheat,2020,Rabi,623.2,21.8,55.4,220.8,58.6,190.9,7.25,222.06,1,1,4.15
Turmeric,2020,Kharif,970.4,33.5,71.0,184.5,56.7,268.5,6.59,478.55,1,1,9.9
Wheat,2023,Rabi,547.3,23.2,57.5,300.0,45.9,205.6,7.38,414.92,0,1,4.53
Rice,2015,Kharif,1076.8,28.6,81.8,206.6,55.9,239.3,6.44,224.93,0,1,4.48
Soybean,2024,Kharif,755.1,30.2,62.8,103.7,64.8,180.3,6.21,486.19,1,1,3.05
Rice,2016,Kharif,1269.2,30.1,76.1,212.7,40.8,276.2,6.18,57.82,0,1,4.99
Cotton,2019,Kharif,895.2,26.4,58.7,190.4,37.8,197.9,6.89,150.83,0,1,2.06
Wheat,2021,Rabi,490.3,23.7,51.4,243.0,48.2,227.9,7.77,404.28,0,1,3.4
Maize,2024,Kharif,836.3,29.5,56.4,184.9,33.4,269.8,7.04,230.89,1,1,4.56
Soybean,2018,Kharif,588.7,23.4,68.5,144.9,53.9,189.1,6.69,417.44,0,1,2.54
Rice,2021,Kharif,1272.8,29.1,72.3,286.1,33.9,247.9,6.75,243.88,0,1,4.6
Soybean,2017,Kharif,730.2,25.5,52.0,88.2,61.3,158.2,6.96,137.19,0,1,2.23
Turmeric,2019,Kharif,847.0,26.7,71.4,139.4,42.1,249.5,6.59,176.85,1,1,7.17
Wheat,2015,Rabi,535.6,22.9,55.3,151.9,61.2,224.8,7.57,1.72,0,1,3.18
Cotton,2017,Kharif,840.0,31.1,53.8,189.2,40.4,253.3,6.6,317.56,0,1,2.07
Cotton,2019,Kharif,856.0,25.7,57.4,151.1,36.8,204.6,6.84,2.13,0,1,2.0
Maize,2024,Kharif,677.6,25.9,66.6,183.7,35.0,264.8,7.12,316.59,0,1,4.41
Rice,2015,Kharif,1267.0,33.7,75.8,220.5,45.9,163.3,7.09,99.72,0,1,3.57
Cotton,2024,Kharif,790.1,27.9,65.2,183.1,48.9,188.9,6.85,187.52,1,0,2.62
Rice,2019,Kharif,1319.1,31.0,78.3,223.5,41.6,285.6,7.27,341.59,1,1,5.23
Wheat,2024,Rabi,434.5,21.8,67.3,222.5,58.2,184.1,6.76,20.06,1,0,3.1
Rice,2015,Kharif,1249.2,28.8,83.1,152.7,31.0,208.5,6.95,464.31,1,1,3.61
Soybean,2018,Kharif,898.2,27.1,72.0,102.4,65.0,128.3,6.6,246.13,1,0,2.64
Sugarcane,2022,Summer,1113.9,32.9,82.5,223.6,60.0,284.3,6.84,164.42,1,1,84.4
Soybean,2016,Kharif,884.7,28.1,57.7,105.8,62.1,195.0,7.72,39.95,0,0,2.11
Wheat,2018,Rabi,565.3,21.3,51.2,217.7,61.1,205.2,7.48,391.05,0,1,3.26
